Node;lon;lat
BE_A;2.453;51.496
BE_B;2.89;51.612
BE1;3.056;51.011
BE2;4.852;50.596
DE_A;6.441;54.177
DE_B;6.033;54.66
DE_C;6.113;54.388
DE_D;6.591;54.022
DE_E;7.697;54.453
DE_F;7.21;55.132
DE1;6.963;51.387
DE2;7.8;52.947
DE3;9.806;53.68
DE4;10.785;50.637
DK_A;7.652;56.326
DK_B;7.746;55.751
DK1;10.051;55.959
NL_A;3.608;52.928
NL_B;3.178;53.1
NL_C;2.99;51.698
NL_D;4.01;52.519
NL_E;5.964;54.036
NL1;4.244;51.761
NL2;4.995;52.45
NL3;6.124;52.95
NL4;5.802;51.866
NO1;7.591;59.382
UK_B;1.168;53.49
UK_C;2.018;54.834
UK_D;-1.734;56.383
UK_E;-2.707;58.181
UK_F;2.126;53.896
UK_G;2.838;52.908
UK_H;2.232;52.11
UK1;0.696;52.104
UK2;-1.664;53.993
UK3;-4.581;56.477
UK4;-2.445;51.76
UK_L;-0.181;60.304
UK_K;-5.075;58.83
UK_J;-1.294;58.362
UK_I;-0.418;57.009
UK_O;1.271;54.039
UK_N;1.274;53.227
UK_M;1.901;51.755
NO_D;25.642;71.425
NO_C;7.769;64.845
NO_B;4.155;59.642
NO_A;4.802;57.235
NL_G;5.642;54.021
NL_F;3.936;53.178
DK_C;6.626;56.266
DE_I;3.637;55.785
DE_H;5.064;55.157
DE_G;6.361;55.012
